method,tier,metric,n_seeds,mean,std,min,max,values
Stage_enumeration,quadrant,APl,3,0.039,0.004,0.035,0.042,0.035;0.042;0.041
Stage_enumeration,enumeration,AR,3,0.042,0.001,0.041,0.042,0.041;0.042;0.041
Stage_enumeration,enumeration,AP,3,0.029,0.005,0.025,0.035,0.035;0.029;0.025
Stage_enumeration,enumeration,AP50,3,0.155,0.005,0.151,0.161,0.161;0.152;0.151
Stage_enumeration,enumeration,AP75,3,0.005,0.007,0.001,0.014,0.014;0.001;0.001
Stage_enumeration,enumeration,APm,0,n/a,n/a,n/a,n/a,
Stage_enumeration,enumeration,APl,3,0.031,0.006,0.026,0.037,0.037;0.030;0.026
Stage_enumeration,diagnosis,AR,3,0.010,0.001,0.009,0.011,0.009;0.009;0.011
Stage_enumeration,diagnosis,AP,3,0.001,0.000,0.001,0.001,0.001;0.001;0.001
Stage_enumeration,diagnosis,AP50,3,0.007,0.003,0.004,0.009,0.006;0.004;0.009
Stage_enumeration,diagnosis,AP75,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_enumeration,diagnosis,APm,0,n/a,n/a,n/a,n/a,
Stage_enumeration,diagnosis,APl,3,0.001,0.000,0.001,0.001,0.001;0.001;0.001
Stage_quadrant,quadrant,AR,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,quadrant,AP,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,quadrant,AP50,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,quadrant,AP75,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,quadrant,APm,0,n/a,n/a,n/a,n/a,
Stage_quadrant,quadrant,APl,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,enumeration,AR,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,enumeration,AP,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,enumeration,AP50,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,enumeration,AP75,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,enumeration,APm,0,n/a,n/a,n/a,n/a,
Stage_quadrant,enumeration,APl,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,diagnosis,AR,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,diagnosis,AP,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,diagnosis,AP50,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,diagnosis,AP75,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
Stage_quadrant,diagnosis,APm,0,n/a,n/a,n/a,n/a,
Stage_quadrant,diagnosis,APl,3,0.000,0.000,0.000,0.000,0.000;0.000;0.000
